1BA	12	6
1242	9	12
120220	3	5
327	9	11
1375	8	3
243	5	10
3110	5	13
22233	4	6
1202	4	12
1202	6	13
1225	6	5
1110001111	2	4
1000100001	2	10
3421	6	2
4313	6	12
21211	4	2
3354	6	11
9B	15	11
2000	3	3
E8	15	5
499	11	11
97	11	16
550	13	15
1641	8	2
1160	9	4
210211	3	9
115	7	14
636	8	11
2243	-5	-2
1505	8	5
21102	4	11
470	11	13
110101100	2	2
121	12	5
51	8	11
1644	7	4
88	13	8
2251	6	14
1110001110	2	4
481	12	3
2015	6	13
576	13	5
261	14	10
2510	7	8
1616	7	13
2B0	13	16
177	11	4
200011	3	3
360	12	14
221	15	9
A4	14	5
595	13	16
3320	4	3
279	16	14
279	12	16
503	14	9
683	11	3
392	15	12
1414	7	2
12142	5	2
3302	6	4
41B	12	16
2BB	1	4
AA	13	15
1D3	14	13
4C	16	6
571	11	9
1C8	16	15
173	11	15
1111001101	2	9
452	12	14
490	14	13
654	11	14
1000111100	2	13
1442	6	13
165	11	5
13300	4	2
354	10	9
662	8	14
121	16	8
EC	16	13
12011	4	5
406	13	13
3C1	16	12
101010001	-1	-2
134	9	10
220102	3	2
604	8	9
27D	16	4
306	14	15
334	9	16
1113	9	7
3311	4	11
23111	4	14
324	5	12
1000000	3	8
621	8	4
11020	3	12
11022	3	5
147	10	5
68	10	7
253	8	5
120	8	13
908	10	11
882	9	5
2232	5	3
22A	12	5
3D8	16	16
612	12	9
36C	14	2
1143	8	9
46	7	16
1207	8	16
426	12	11
755	10	7
4213	6	14
111	14	13
678	9	4
1E9	16	9
20101	4	3
1022	8	7
97	13	3
131	6	9
220	0	2
208	16	11
A0	13	9
521	13	4
3330	4	7
2D3	16	5
383	14	16
497	12	16
28A	13	10
2316	7	11
32101	4	12
55	12	12
1104	7	16
1105	9	9
329	13	6
3350	6	3
35C	-1	11
42A	13	10
3042	5	13
3	-7	10
21103	4	5
2BB	14	4
5A3	11	14
370	15	11
346	10	3
3A5	16	9
17	15	14
188	-5	-5
1551	6	9
4220	6	10
1000	3	10
58A	13	16
401	11	9
1513	6	11
32211	4	13
1035	7	9
672	9	8
205	15	8
629	11	16
110111100	2	13
144	10	3
1442	5	14
212	4	9
35E	15	5
1011202	3	6
135	6	14
11100000	2	11
386	13	-10
623	8	10
1A0	13	2
1010111100	2	12
715	8	6
1282	9	5
18B	14	13
A4	15	13
3142	5	5
215	10	7
291	10	16
3540	-8	9
550	9	15
11E	16	12
66	16	10
60	9	2
2333	5	6
2150	6	11
4333	6	3
32A	14	13
828	11	16
1656	7	15
1100002	3	16
171	15	8
110110000	2	15
563	9	11
644	7	3
245	13	3
492	12	7
713	11	8
